Annee;Groupe_TP;Id_paquerette;Milieu;Code_site;Prop_veg_500;Date_ech;Date_dissection;Nb_inflo;Nb_feuilles;H_tige;D_capitule;D_disque;Antho_sup;Antho_inf;Nb_ligu;Nb_tubu;Abondance;Agregation
2023;A22;URB1-4453-A;Urbain;URB1;21.9;09/03/2023;09/03/2023;6;37;32;20;7;2;2;50;102;1;C
2023;A22;URB1-5141-A;Urbain;URB1;21.9;09/03/2023;09/03/2023;2;15;36;20;6;2;2;40;110;1;E
2023;B22;URB3-3082-A;Urbain;URB3;4.72;05/03/2023;08/03/2023;4;18;65;20;9;2;2;60;152;1;A
2023;B12;URB3-5485A;Urbain;URB3;4.72;08/03/2023;08/03/2023;6;47;45;23;9;2;3;42;150;1;A
2023;B12;URB3-7930-B;Urbain;URB3;4.72;08/03/2023;08/03/2023;4;28;27;26;8;2;2;54;196;4;D
2023;A11;URB3-8607-A;Urbain;URB3;4.72;09/03/2023;09/03/2023;6;49;30;25;8;2;2;50;242;1;A
2023;A21;URB3-1796-A;Urbain;URB3;4.72;07/03/2023;09/03/2023;4;42;27;22;7;3;3;48;126;1;A
2023;A21;URB3-1920-A;Urbain;URB3;4.72;07/03/2023;09/03/2023;4;23;88;25;9;2;2;46;130;1;A
2023;A32;URB3-0931-A;Urbain;URB3;4.72;06/03/2023;07/03/2023;7;50;40;22;9;2;2;50;160;1;A
2023;A32;URB3-1118-A;Urbain;URB3;4.72;06/03/2023;07/03/2023;3;28;88;22;7;3;3;40;130;1;A
2023;A22;URB3-1448-A;Urbain;URB3;4.72;08/03/2023;09/03/2023;6;69;33;28;9;2;2;58;192;2;A
2023;A22;URB3-4436-A;Urbain;URB3;4.72;09/03/2023;09/03/2023;5;32;48;20;8;2;2;48;180;4;C
2023;B21;URB6-1070-A;Urbain;URB6;8.39;07/03/2023;08/03/2023;2;7;61;25;9;1;1;54;130;1;A
2023;B21;URB7-2210-B;Urbain;URB6;8.39;07/03/2023;08/03/2023;1;8;33;18;6;2;2;28;46;1;E
2023;B32;URB7-0759-A;Urbain;URB7;12.89;06/03/2023;06/03/2023;4;47;70;22;8;1;1;52;128;2;E
2023;B21;URB7-2210-A;Urbain;URB7;12.89;07/03/2023;08/03/2023;3;27;57;18;5;2;3;32;164;1;D
2023;B11;URB7-5762-A;Urbain;URB7;12.89;05/03/2023;08/03/2023;2;40;60;24;8;2;2;44;188;1;A
2023;B32;URB7-8838-A;Urbain;URB7;12.89;05/03/2023;06/03/2023;1;7;67;19;9;2;3;36;138;1;A
2023;A31;URB7-0474-A;Urbain;URB7;12.89;06/03/2023;07/03/2023;3;28;101;28;7;2;2;56;146;1;A
2023;A31;URB7-1116-A;Urbain;URB7;12.89;20/02/2023;07/03/2023;3;15;88;15;6;1;1;38;128;1;A
2023;A31;URB7-1290-A;Urbain;URB7;12.89;20/02/2023;07/03/2023;1;10;35;14;5;1;1;38;52;1;A
2023;A31;URB7-6022-B;Urbain;URB7;12.89;06/03/2023;07/03/2023;3;11;88;24;8;2;2;44;146;1;A
2023;A11;UR7-9623-A;Urbain;URB7;12.89;08/03/2023;09/03/2023;3;19;60;9;2;1;1;68;150;1;A
2023;A11;URB7-3227-A;Urbain;URB7;12.89;09/03/2023;09/03/2023;2;10;24;16;7;2;2;34;76;2;B
2023;A11;URB7-5507-A;Urbain;URB7;12.89;08/03/2023;09/03/2023;5;39;50;23;8;2;3;44;112;2;D
2023;A21;URB7-2187-A;Urbain;URB7;12.89;08/03/2023;09/03/2023;2;22;65;22;7;2;3;36;146;1;A
2023;A32;URB7-3175-A;Urbain;URB7;12.89;05/03/2023;07/03/2023;9;78;105;21;8;2;3;48;150;1;E
2023;A32;URB7-6024-A;Urbain;URB7;12.89;06/03/2023;07/03/2023;3;17;45;23;7;3;3;44;132;1;A
2023;B11;URB8-0227-B;Urbain;URB8;20.18;06/03/2023;08/03/2023;3;36;45;22;8;2;2;44;114;2;A
2023;B32;URB8-1859-A;Urbain;URB8;20.18;05/03/2023;06/03/2023;1;36;42;25;10;3;3;40;100;1;D
2023;B32;URB8-3094-A;Urbain;URB8;20.18;05/03/2023;06/03/2023;1;25;26;20;6;2;3;28;96;1;D
2023;B32;URB8-3328-A;Urbain;URB8;20.18;05/03/2023;06/03/2023;1;10;42;17;6;3;4;54;100;1;E
2023;B32;URB8-6830-B;Urbain;URB8;20.18;05/03/2023;06/03/2023;1;33;55;30;10;2;2;22;68;1;A
2023;A11;URB8-2014-A;Urbain;URB8;20.18;08/03/2023;09/03/2023;9;39;74;25;9;2;3;38;140;1;E
